,pore_ID,pore_radius,pore_coordination_number
0,1.0,0.001047539,19.0
1,2.0,0.001048702,19.0
2,3.0,0.001034747,14.0
3,4.0,0.001016893,16.0
4,5.0,0.001032776,14.0
5,6.0,0.0009943634,16.0
6,7.0,0.000984489,16.0
7,8.0,0.0009854221,16.0
8,9.0,0.0009795933,15.0
9,10.0,0.0009738616,18.0
10,11.0,0.000960839,23.0
11,12.0,0.0009713775,9.0
12,13.0,0.0009542769,20.0
13,14.0,0.0009697939,15.0
14,15.0,0.0009580394,17.0
15,16.0,0.0009502419,17.0
16,17.0,0.0009472739,17.0
17,18.0,0.0009562075,15.0
18,19.0,0.0009657101,15.0
19,20.0,0.0009478797,14.0
20,21.0,0.0009616298,16.0
21,22.0,0.0009546142,9.0
22,23.0,0.000960953,21.0
23,24.0,0.0009461557,19.0
24,25.0,0.0009290357,13.0
25,26.0,0.0009387286,20.0
26,27.0,0.0009332122,19.0
27,28.0,0.0009271929,9.0
28,29.0,0.0009269409,21.0
29,30.0,0.0009205504,16.0
30,31.0,0.0009097776,18.0
31,32.0,0.0009017655,13.0
32,33.0,0.0009229901,18.0
33,34.0,0.0009216603,13.0
34,35.0,0.0009061333,17.0
35,36.0,0.0009131151,8.0
36,37.0,0.0008991572,14.0
37,38.0,0.0008993273,12.0
38,39.0,0.0008903719,13.0
39,40.0,0.0009002043,14.0
40,41.0,0.0009012158,19.0
41,42.0,0.0008939692,12.0
42,43.0,0.0009003419,13.0
43,44.0,0.0008852235,12.0
44,45.0,0.0008921851,8.0
45,46.0,0.0009079764,18.0
46,47.0,0.0008813895,16.0
47,48.0,0.0008794883,19.0
48,49.0,0.0008869448,15.0
49,50.0,0.0008933746,17.0
50,51.0,0.0009020318,12.0
51,52.0,0.0008903366,15.0
52,53.0,0.0008874611,13.0
53,54.0,0.0008810886,19.0
54,55.0,0.0009034534,18.0
55,56.0,0.0008681643,10.0
56,57.0,0.000895961,16.0
57,58.0,0.0008823307,14.0
58,59.0,0.0008842425,14.0
59,60.0,0.000869884,18.0
60,61.0,0.0008646704,21.0
61,62.0,0.00086927,26.0
62,63.0,0.0008663945,14.0
63,64.0,0.0008705329,14.0
64,65.0,0.000862538,18.0
65,66.0,0.0008746492,13.0
66,67.0,0.0008584768,14.0
67,68.0,0.0008773032,8.0
68,69.0,0.0008539848,17.0
69,70.0,0.0008694112,16.0
70,71.0,0.0008570384,15.0
71,72.0,0.0008707561,17.0
72,73.0,0.0008599508,15.0
73,74.0,0.0008562395,14.0
74,75.0,0.0008709851,22.0
75,76.0,0.0008589433,13.0
76,77.0,0.0008613955,18.0
77,78.0,0.000848506,19.0
78,79.0,0.0008479648,18.0
79,80.0,0.0008507922,18.0
80,81.0,0.0008523639,15.0
81,82.0,0.0008621609,12.0
82,83.0,0.0008576941,12.0
83,84.0,0.0008569094,15.0
84,85.0,0.000855048,23.0
85,86.0,0.0008513371,15.0
86,87.0,0.0008544397,19.0
87,88.0,0.0008657752,14.0
88,89.0,0.0008661789,12.0
89,90.0,0.0008505836,15.0
90,91.0,0.0008461185,16.0
91,92.0,0.0008525886,20.0
92,93.0,0.0008484325,11.0
93,94.0,0.0008627876,18.0
94,95.0,0.0008622915,20.0
95,96.0,0.000850214,16.0
96,97.0,0.0008684901,16.0
97,98.0,0.0008538135,19.0
98,99.0,0.0008439127,14.0
99,100.0,0.0008491585,22.0
100,101.0,0.000849304,13.0
101,102.0,0.000849859,10.0
102,103.0,0.0008514561,11.0
103,104.0,0.0008401972,11.0
104,105.0,0.0008495001,12.0
105,106.0,0.0008441016,16.0
106,107.0,0.0008368167,11.0
107,108.0,0.000843625,14.0
108,109.0,0.0008548511,9.0
109,110.0,0.0008461479,22.0
110,111.0,0.0008583428,13.0
111,112.0,0.0008482532,19.0
112,113.0,0.000842837,25.0
113,114.0,0.0008547208,17.0
114,115.0,0.0008479486,13.0
115,116.0,0.0008418854,13.0
116,117.0,0.000841189,17.0
117,118.0,0.0008311881,12.0
118,119.0,0.0008487356,11.0
119,120.0,0.0008376886,14.0
120,121.0,0.0008407862,14.0
121,122.0,0.0008378747,15.0
122,123.0,0.0008397401,21.0
123,124.0,0.0008446201,9.0
124,125.0,0.0008276984,18.0
125,126.0,0.0008343348,12.0
126,127.0,0.0008364141,15.0
127,128.0,0.0008373219,14.0
128,129.0,0.0008389314,14.0
129,130.0,0.0008234028,11.0
130,131.0,0.0008711582,20.0
131,132.0,0.0008117442,12.0
132,133.0,0.00083111,17.0
133,134.0,0.0008188251,13.0
134,135.0,0.0008089649,15.0
135,136.0,0.0008242647,18.0
136,137.0,0.0008350298,10.0
137,138.0,0.0008332559,12.0
138,139.0,0.0008326419,13.0
139,140.0,0.0008251544,8.0
140,141.0,0.0008279955,12.0
141,142.0,0.000832487,15.0
142,143.0,0.0008220383,14.0
143,144.0,0.000818188,8.0
144,145.0,0.0008188195,15.0
145,146.0,0.0008131777,10.0
146,147.0,0.0008116081,15.0
147,148.0,0.0008185087,11.0
148,149.0,0.0008090927,12.0
149,150.0,0.0008728871,16.0
150,151.0,0.000818853,14.0
151,152.0,0.0008170349,17.0
152,153.0,0.0008176147,17.0
153,154.0,0.0008152756,10.0
154,155.0,0.0008090797,12.0
155,156.0,0.0008027253,13.0
156,157.0,0.0008016989,11.0
157,158.0,0.0008037967,13.0
158,159.0,0.0008119069,11.0
159,160.0,0.0008054707,16.0
160,161.0,0.0008097723,13.0
161,162.0,0.0008108648,13.0
162,163.0,0.0008053142,17.0
163,164.0,0.0007926714,13.0
164,165.0,0.0008055775,8.0
165,166.0,0.0007990936,11.0
166,167.0,0.0008084839,12.0
167,168.0,0.000806757,12.0
168,169.0,0.0008014346,12.0
169,170.0,0.0008064493,9.0
170,171.0,0.0007982792,9.0
171,172.0,0.0008060771,11.0
172,173.0,0.0007935901,14.0
173,174.0,0.0008180552,21.0
174,175.0,0.0007926402,15.0
175,176.0,0.0007914508,11.0
176,177.0,0.0008002312,21.0
177,178.0,0.0008001796,14.0
178,179.0,0.0008016393,19.0
179,180.0,0.0007885088,11.0
180,181.0,0.0008014647,18.0
181,182.0,0.000792132,11.0
182,183.0,0.0007906533,17.0
183,184.0,0.0007940595,10.0
184,185.0,0.0007913188,11.0
185,186.0,0.0008103622,15.0
186,187.0,0.0007896974,17.0
187,188.0,0.0007920051,10.0
188,189.0,0.0008063357,11.0
189,190.0,0.000797167,12.0
190,191.0,0.0007811639,14.0
191,192.0,0.0007843557,13.0
192,193.0,0.000798587,10.0
193,194.0,0.0007949958,16.0
194,195.0,0.0007870145,9.0
195,196.0,0.0007841703,13.0
196,197.0,0.0008007108,17.0
197,198.0,0.0008584624,16.0
198,199.0,0.0007813605,14.0
199,200.0,0.0007912254,14.0
200,201.0,0.0008034665,17.0
201,202.0,0.0008074366,12.0
202,203.0,0.0007879746,9.0
203,204.0,0.000783875,14.0
204,205.0,0.0007767751,15.0
205,206.0,0.0007857236,9.0
206,207.0,0.0007995687,7.0
207,208.0,0.0007923372,12.0
208,209.0,0.0007872694,13.0
209,210.0,0.0007877027,9.0
210,211.0,0.0007723155,16.0
211,212.0,0.0007754508,17.0
212,213.0,0.0007764325,12.0
213,214.0,0.0007891642,14.0
214,215.0,0.0007921028,15.0
215,216.0,0.00078007,10.0
216,217.0,0.0007891845,13.0
217,218.0,0.0007863421,13.0
218,219.0,0.0007880658,16.0
219,220.0,0.0007896134,7.0
220,221.0,0.0007824446,8.0
221,222.0,0.0008150937,17.0
222,223.0,0.000784014,10.0
223,224.0,0.0007720893,14.0
224,225.0,0.0007789781,9.0
225,226.0,0.0007708398,19.0
226,227.0,0.000780164,10.0
227,228.0,0.000780495,11.0
228,229.0,0.000773679,10.0
229,230.0,0.0007669102,9.0
230,231.0,0.0007774667,18.0
231,232.0,0.0007639709,12.0
232,233.0,0.0007782619,14.0
233,234.0,0.0007746747,19.0
234,235.0,0.000774772,13.0
235,236.0,0.0007768137,7.0
236,237.0,0.0007809121,13.0
237,238.0,0.0007770138,10.0
238,239.0,0.0007866261,20.0
239,240.0,0.0007695096,16.0
240,241.0,0.0007803855,11.0
241,242.0,0.000760881,13.0
242,243.0,0.0007765955,20.0
243,244.0,0.0007721371,22.0
244,245.0,0.0007885803,15.0
245,246.0,0.0007821565,15.0
246,247.0,0.000774372,12.0
247,248.0,0.0007788787,16.0
248,249.0,0.0007790945,6.0
249,250.0,0.0007747843,12.0
250,251.0,0.0007742817,12.0
251,252.0,0.0007729126,16.0
252,253.0,0.0008342782,15.0
253,254.0,0.0007618851,16.0
254,255.0,0.0007765191,11.0
255,256.0,0.0007750511,15.0
256,257.0,0.000758032,13.0
257,258.0,0.0007655862,16.0
258,259.0,0.000830569,13.0
259,260.0,0.0007559299,17.0
260,261.0,0.0007666176,9.0
261,262.0,0.0007692801,10.0
262,263.0,0.0007741678,9.0
263,264.0,0.0007811247,12.0
264,265.0,0.0007735903,10.0
265,266.0,0.000763558,10.0
266,267.0,0.0007661226,14.0
267,268.0,0.0007658262,17.0
268,269.0,0.0007592587,7.0
269,270.0,0.0007604972,16.0
270,271.0,0.0007677967,16.0
271,272.0,0.0007673338,7.0
272,273.0,0.0007513442,8.0
273,274.0,0.0007473453,15.0
274,275.0,0.0007671116,13.0
275,276.0,0.0007649459,14.0
276,277.0,0.0007666092,17.0
277,278.0,0.0007614061,13.0
278,279.0,0.0007869568,14.0
279,280.0,0.0007520085,20.0
280,281.0,0.000751856,11.0
281,282.0,0.0007540472,15.0
282,283.0,0.0007579377,13.0
283,284.0,0.0007652922,12.0
284,285.0,0.0007488551,9.0
285,286.0,0.0007674781,12.0
286,287.0,0.0007515332,10.0
287,288.0,0.0007566892,6.0
288,289.0,0.000749826,12.0
289,290.0,0.0007560598,17.0
290,291.0,0.0007594988,13.0
291,292.0,0.000752524,14.0
292,293.0,0.0007617766,22.0
293,294.0,0.0007562388,11.0
294,295.0,0.0007535812,14.0
295,296.0,0.0007479184,8.0
296,297.0,0.0007417957,12.0
297,298.0,0.0007551995,12.0
298,299.0,0.0007546488,10.0
299,300.0,0.0007533705,13.0
300,301.0,0.0007562205,10.0
301,302.0,0.000746198,19.0
302,303.0,0.0007525098,15.0
303,304.0,0.000762521,14.0
304,305.0,0.0007633243,10.0
305,306.0,0.0007635505,11.0
306,307.0,0.0007490781,11.0
307,308.0,0.0007426731,17.0
308,309.0,0.0007511875,17.0
309,310.0,0.000739748,9.0
310,311.0,0.0007467873,12.0
311,312.0,0.000740562,12.0
312,313.0,0.0007609073,10.0
313,314.0,0.0007452293,17.0
314,315.0,0.0007409514,10.0
315,316.0,0.0007519579,11.0
316,317.0,0.0007465211,12.0
317,318.0,0.0007434206,8.0
318,319.0,0.0007359076,14.0
319,320.0,0.0007362066,12.0
320,321.0,0.0007419752,14.0
321,322.0,0.0007388863,11.0
322,323.0,0.0007574745,9.0
323,324.0,0.0007510313,11.0
324,325.0,0.0007472504,11.0
325,326.0,0.0007458077,9.0
326,327.0,0.0007361525,12.0
327,328.0,0.0008001752,12.0
328,329.0,0.000739722,8.0
329,330.0,0.0007393969,12.0
330,331.0,0.0007507508,10.0
331,332.0,0.000743478,12.0
332,333.0,0.0007464215,10.0
333,334.0,0.0007447453,11.0
334,335.0,0.0007534874,10.0
335,336.0,0.0007415315,14.0
336,337.0,0.0007320781,7.0
337,338.0,0.0007454886,12.0
338,339.0,0.0007424772,11.0
339,340.0,0.0007479432,16.0
340,341.0,0.000743538,11.0
341,342.0,0.0007573528,8.0
342,343.0,0.0007409656,13.0
343,344.0,0.000770447,12.0
344,345.0,0.0007537055,10.0
345,346.0,0.0007407529,14.0
346,347.0,0.000746702,14.0
347,348.0,0.0007415497,7.0
348,349.0,0.0007436288,10.0
349,350.0,0.0007432629,8.0
350,351.0,0.000731978,10.0
351,352.0,0.0007465735,16.0
352,353.0,0.0007300786,12.0
353,354.0,0.0007335531,9.0
354,355.0,0.000746931,14.0
355,356.0,0.0007771261,13.0
356,357.0,0.0007306619,12.0
357,358.0,0.0007376182,14.0
358,359.0,0.0007286352,10.0
359,360.0,0.0007340818,9.0
360,361.0,0.0007275966,12.0
361,362.0,0.0007278265,13.0
362,363.0,0.000730137,11.0
363,364.0,0.0007315386,12.0
364,365.0,0.0007342299,18.0
365,366.0,0.0007292191,14.0
366,367.0,0.0007411621,14.0
367,368.0,0.0007647229,15.0
368,369.0,0.0007290962,14.0
369,370.0,0.0007287904,13.0
370,371.0,0.0007264484,9.0
371,372.0,0.0007420813,9.0
372,373.0,0.0007196811,11.0
373,374.0,0.000723837,8.0
374,375.0,0.0007287677,12.0
375,376.0,0.0007330573,17.0
376,377.0,0.0007305244,9.0
377,378.0,0.0007234507,9.0
378,379.0,0.0007387583,9.0
379,380.0,0.0007276001,13.0
380,381.0,0.00074078,14.0
381,382.0,0.0007216756,17.0
382,383.0,0.0007223088,9.0
383,384.0,0.0007162494,14.0
384,385.0,0.0007384789,10.0
385,386.0,0.000755934,16.0
386,387.0,0.0007217196,8.0
387,388.0,0.0007221893,21.0
388,389.0,0.0007354389,10.0
389,390.0,0.0007335326,14.0
390,391.0,0.0007340421,17.0
391,392.0,0.000711041,11.0
392,393.0,0.0007132245,10.0
393,394.0,0.0007219136,11.0
394,395.0,0.0007280019,11.0
395,396.0,0.0007148706,15.0
396,397.0,0.0007221113,5.0
397,398.0,0.0007189393,9.0
398,399.0,0.0007207836,14.0
399,400.0,0.0007197683,17.0
400,401.0,0.0007199708,9.0
401,402.0,0.0007350962,14.0
402,403.0,0.0007221902,14.0
403,404.0,0.0007263387,10.0
404,405.0,0.0007228142,8.0
405,406.0,0.0007376539,17.0
406,407.0,0.00072197,13.0
407,408.0,0.000720161,11.0
408,409.0,0.0007197556,11.0
409,410.0,0.0007176993,15.0
410,411.0,0.000714387,13.0
411,412.0,0.0007168347,17.0
412,413.0,0.000720884,12.0
413,414.0,0.0007116164,10.0
414,415.0,0.0007243952,12.0
415,416.0,0.0007238058,8.0
416,417.0,0.0007159276,15.0
417,418.0,0.0007090633,12.0
418,419.0,0.0007238812,10.0
419,420.0,0.0007335393,12.0
420,421.0,0.0007121582,18.0
421,422.0,0.0007203027,10.0
422,423.0,0.0007581688,12.0
423,424.0,0.0007294447,14.0
424,425.0,0.0007216868,9.0
425,426.0,0.0007276628,15.0
426,427.0,0.0007128082,11.0
427,428.0,0.0007202798,11.0
428,429.0,0.0007182226,7.0
429,430.0,0.0007322082,10.0
430,431.0,0.0007194418,9.0
431,432.0,0.0007235117,13.0
432,433.0,0.0007261637,10.0
433,434.0,0.0007165386,6.0
434,435.0,0.0007183455,9.0
435,436.0,0.0007145455,5.0
436,437.0,0.0007198087,14.0
437,438.0,0.0007834137,5.0
438,439.0,0.0007210919,13.0
439,440.0,0.0007139521,9.0
440,441.0,0.0007247517,14.0
441,442.0,0.0007540077,11.0
442,443.0,0.0007140976,8.0
443,444.0,0.0007198954,16.0
444,445.0,0.0007123825,16.0
445,446.0,0.0007138756,10.0
446,447.0,0.0007138188,13.0
447,448.0,0.0007072286,6.0
