,Throat_ID,Throat_radius,Throat_length(centre_to_centre),Throat_length(edge_to_edge)
0,1.0,0.0004571153,0.001266209,0.0003845991
1,2.0,0.0005323673,0.0007655527,0.0002193824
2,3.0,0.0003888432,0.0003750623,9.052054e-05
3,4.0,0.000123,0.0001505,0.0001005
4,5.0,0.000241275,0.0001505,7.359156e-05
5,6.0,0.0005197589,0.0003751515,9.055001e-05
6,7.0,0.0005606006,0.0006799847,0.000191145
7,8.0,0.0001407452,0.001482099,0.0004558427
8,9.0,0.0005867598,0.0001505,0.0001005
9,10.0,0.0003359574,0.001331779,0.0004062371
10,11.0,0.0007742817,0.0001505,0.0001005
11,12.0,0.0002983133,0.0001505,0.0001005
12,13.0,0.0006291217,0.0001505,0.0001005
13,14.0,0.0002819075,0.001633117,0.0005056788
14,15.0,0.000342559,0.0001505,0.0001005
15,16.0,0.0004312449,0.001374441,0.0004203156
16,17.0,0.0003106331,0.0007434842,0.0002120998
17,18.0,0.0003571258,0.0001505,0.0001005
18,19.0,0.0005331045,0.001236591,0.0003748251
19,20.0,0.0002416723,0.0008290834,0.0002403475
20,21.0,0.0002482731,0.0004962209,0.0001305029
21,22.0,0.0002876771,0.001868922,0.0005834941
22,23.0,0.0004854319,0.001591275,0.0004918708
23,24.0,0.0002849314,0.0001505,0.0001005
24,25.0,0.0003766743,0.0001505,7.511336e-05
25,26.0,2.441834e-05,0.001077606,0.0003223599
26,27.0,0.0003881964,0.0003928375,9.638639e-05
27,28.0,0.0003026634,0.0001505,0.0001005
28,29.0,0.0003872412,0.001679222,0.0005208931
29,30.0,0.0002645675,0.0001505,0.0001005
30,31.0,0.0001021779,0.0001505,8.261406e-05
31,32.0,0.0003799356,0.0004877702,0.0001277142
32,33.0,0.0003369078,0.0006007459,0.0001649961
33,34.0,0.0002881174,0.001377355,0.0004212773
34,35.0,0.0005159367,0.0001505,0.0001005
35,36.0,2.425e-05,0.001226206,0.0003713979
36,37.0,0.0002775921,0.001776715,0.000553066
37,38.0,0.0002846813,0.001497525,0.0004609331
38,39.0,0.0001846795,0.001258656,0.0003821065
39,40.0,0.0004067925,0.0002258091,4.1267e-05
40,41.0,0.0003183472,0.002159756,0.0006794694
41,42.0,0.0004649873,0.0001505,0.0001005
42,43.0,0.0003437037,0.0008432891,0.0002450354
43,44.0,0.0003524639,0.0001505,0.0001005
44,45.0,0.000487595,0.001535174,0.0004733574
45,46.0,0.0002882001,0.002367662,0.0007480786
46,47.0,0.0003361067,0.0002990085,6.54228e-05
47,48.0,0.0003389435,0.0001505,0.0001005
48,49.0,0.0006300437,0.0001505,0.0001005
49,50.0,0.000204062,0.0008077723,0.0002333149
50,51.0,0.0005768994,0.0001505,7.509705e-05
51,52.0,0.0007824446,0.0001505,0.0001005
52,53.0,0.000392942,0.0001505,0.0001005
53,54.0,0.000355547,0.0006886423,0.000194002
54,55.0,0.0007250703,0.0003444262,8.041066e-05
55,56.0,0.0004596144,0.0001505,0.0001005
56,57.0,0.0004725363,0.0001505,0.0001005
57,58.0,0.0003367949,0.001183458,0.0003572912
58,59.0,0.000666537,0.0001505,0.0001005
