,0,1,2
0,1,150,618.1494
2,1,163,266.73724
4,1,345,212.43884
6,1,729,997.3181
8,1,892,1380.2876
10,1,992,1612.478
12,1,1351,1529.4285
14,1,1357,99.16812
16,1,1611,380.2213
18,1,1671,270.40076
20,1,1761,159.72275
22,1,1838,1308.475
24,1,2649,181.67026
26,1,4146,303.10266
28,1,4702,134.82782
30,1,4751,186.0197
32,1,4822,163.55948
34,1,5808,607.67163
36,1,5818,1050.7256
38,1,5829,7320.9614
40,1,5843,1161.2764
42,1,5854,3031.711
44,1,5881,2386.5127
46,1,5884,529.4488
48,1,5886,3693.9346
50,1,5921,1010.18945
52,1,5931,4428.9854
54,1,5954,2464.8154
56,1,5957,6637.216
58,1,5992,265.62695
60,1,5998,269.5667
62,1,6022,920.64307
64,2,123,118.72974
66,2,238,304.09937
68,2,274,110.89258
70,2,279,651.7981
72,2,376,162.91565
74,2,944,239.06421
76,2,956,1275.9937
78,2,1015,149.2779
80,2,1725,306.81744
82,2,2136,105.337234
84,2,2392,450.66327
86,2,3109,248.6549
88,2,3491,137.88327
90,2,3559,137.92358
92,2,3758,213.86908
94,2,4337,316.2281
96,2,4525,116.93948
98,2,4794,132.29309
100,2,4868,111.27782
102,2,6093,2350.628
104,2,6119,1053.676
106,2,6123,2389.435
108,2,6126,2456.5806
110,2,6139,3004.2373
112,2,6153,3176.9773
114,2,6162,1145.2493
116,2,6189,2463.062
118,2,6190,1707.6423
120,2,6197,1895.7896
122,2,6223,2189.9097
124,2,6233,1101.4896
126,2,6234,2697.0447
128,3,497,1242.0569
130,3,843,178.89587
132,3,1007,57.8916
134,3,1184,2.1171827
136,3,1555,222.03223
138,3,1568,64.43509
140,3,2006,657.41614
142,3,3652,339.0901
144,3,3778,232.31433
146,3,4036,134.73851
148,3,4465,215.7955
150,3,4477,222.94373
152,3,4552,211.521
154,3,4978,122.85309
156,3,5099,2805.1963
158,3,5102,408.56152
160,3,5151,3758.555
162,3,5154,1779.6034
164,3,5164,2239.3193
166,3,5216,248.61243
168,3,5225,3159.9053
170,3,5230,3925.4746
172,3,5289,2385.8542
174,4,59,426.14893
176,4,299,620.3312
178,4,354,112.38095
180,4,356,431.57275
182,4,1454,203.9635
184,4,1835,186.77103
186,4,2527,497.2096
188,4,2584,228.82104
190,4,2594,219.04132
192,4,2653,109.788574
194,4,2800,13.158936
196,4,3008,329.08252
198,4,3323,209.71426
200,4,3756,152.15527
202,4,4271,179.724
204,4,4956,9.885963
206,4,5453,1618.8884
208,4,5494,2951.1506
210,4,5503,2578.7134
212,4,5527,298.07495
214,4,5528,3724.2153
216,4,5562,2254.745
218,4,5574,2149.8865
220,4,5575,2624.0588
222,4,5625,3781.9417
224,4,5634,1864.9727
226,4,5672,5703.027
228,5,10,162.09473
230,5,49,401.76086
232,5,407,762.6594
234,5,443,142.18518
236,5,491,1095.1863
238,5,571,148.48315
240,5,726,612.0884
242,5,986,113.06067
244,5,1000,774.9761
246,5,1013,201.14392
248,5,1301,462.1219
250,5,2897,3.9087372
252,5,3048,356.88757
254,5,4890,139.60367
256,5,5283,2104.5757
258,5,5288,2751.1064
260,5,5298,423.9937
262,5,5304,2941.5676
264,5,5339,1602.6769
266,5,5342,2132.5837
268,5,5352,966.67896
270,5,5364,2351.731
272,5,5365,2698.7847
274,5,5388,1903.668
276,5,5404,2944.4473
278,5,5416,2301.868
280,6,215,159.31372
282,6,406,484.98535
284,6,454,792.1858
286,6,517,454.93848
288,6,714,461.2395
290,6,1600,100.342834
292,6,2130,220.45813
294,6,2224,157.32288
296,6,2850,233.32068
298,6,3445,220.89667
300,6,4402,374.60638
302,6,4412,120.12938
304,6,4819,100.87964
306,6,7789,2778.7866
308,6,7795,1634.5559
310,6,7798,2900.5781
312,6,7817,1738.8574
314,6,7827,1044.9401
316,6,7869,5052.651
318,6,7871,5512.986
320,6,7876,1804.9937
322,6,7877,2384.589
324,7,52,671.31226
326,7,76,167.9906
328,7,597,189.11206
330,7,852,129.1737
332,7,916,240.271
334,7,960,1113.4985
336,7,1057,122.94449
338,7,1147,246.073
340,7,2037,254.89453
342,7,2124,242.20776
344,7,2355,831.0491
346,7,3027,256.40558
348,7,3147,141.6333
350,7,3843,307.1007
352,7,4144,164.45929
354,7,4998,153.08508
356,7,7688,2226.9775
358,7,7722,2328.5288
360,7,7733,2736.7979
362,7,7743,2979.3977
364,7,7761,6227.934
366,7,7802,0.13397479
368,7,7813,8458.15
370,7,7815,4617.1973
372,7,7890,4178.5957
374,8,310,226.10034
376,8,320,178.20123
378,8,546,647.1206
380,8,664,154.37744
382,8,703,189.30359
384,8,970,188.72705
386,8,982,1037.6304
388,8,1374,764.03076
390,8,1627,355.26904
392,8,1858,209.81802
394,8,2615,317.91663
396,8,2811,207.97363
398,8,3117,537.0692
400,8,4043,240.51373
402,8,4116,129.68811
404,8,4153,138.18079
406,8,6648,2536.9558
408,8,6654,1965.7852
410,8,6656,1697.5127
412,8,6669,0.13616085
414,8,6697,436.1493
416,8,6706,2380.9019
418,8,6723,2263.8352
420,8,6727,3488.1746
422,8,6744,3039.4727
424,8,6763,397.4014
426,8,6779,7286.9795
428,8,6783,2449.5098
430,9,205,219.43628
432,9,260,253.26245
434,9,369,287.05396
436,9,461,181.43726
438,9,643,125.9599
440,9,1098,35.601257
442,9,1192,419.16254
444,9,1476,230.22137
446,9,1564,794.80505
448,9,1641,335.61285
450,9,1949,191.95587
452,9,2291,113.85889
454,9,2667,308.16974
456,9,3899,274.6778
458,9,4789,174.91272
460,9,5179,1824.7029
462,9,5204,2235.1763
464,9,5218,2219.1213
466,9,5237,2134.463
468,9,5263,1762.7311
470,9,5265,2515.901
472,9,5272,2589.7346
474,9,5303,2318.9434
476,9,5319,2524.9412
478,9,5341,1146.7046
480,10,5,162.09183
482,10,201,183.69058
484,10,491,237.4043
486,10,1000,119.797455
488,10,1168,153.14929
490,10,1211,5.4903107
492,10,1239,115.42328
494,10,1610,126.403564
496,10,1752,711.31104
498,10,1851,723.8496
500,10,1948,148.3418
502,10,2034,716.40735
504,10,2330,133.58008
506,10,3734,79.02902
508,10,3754,177.13947
510,10,4366,122.20398
512,10,4587,163.48074
514,10,4890,120.61487
516,10,5161,2007.5354
518,10,5166,3015.4492
520,10,5169,2651.13
522,10,5207,2071.4897
524,10,5227,1803.1301
526,10,5228,2133.4092
528,10,5232,3075.897
530,10,5239,1987.2664
532,10,5253,2324.7966
534,10,5283,1942.3105
536,10,5288,3303.46
538,10,5304,1046.7373
540,11,23,126.21817
542,11,183,560.1023
544,11,422,417.21088
546,11,427,111.5863
548,11,650,609.8402
550,11,697,2012.4456
552,11,712,102.524475
554,11,1181,233.29376
556,11,1615,254.388
558,11,1731,189.05872
560,11,2257,154.24591
562,11,2425,503.31683
564,11,2632,330.95874
566,11,2677,301.96277
